RAND(),,Sex,Bwt,Hwt
0.004085205,136,M,3.6,11.8
0.05948608,129,M,3.4,12.8
0.067901101,7,F,2.1,8.1
0.07642658,121,M,3.3,11.5
0.076996281,54,M,2.2,8.5
0.084083687,106,M,3,12.7
0.093965953,76,M,2.6,9.4
0.100780506,10,F,2.1,8.5
0.106875014,130,M,3.4,14.4
0.118024315,116,M,3.2,11.9
0.121502763,20,F,2.3,7.9
0.124912345,3,F,2,9.5
0.126140166,79,M,2.7,8
0.134032437,55,M,2.2,9.1
0.137187539,77,M,2.6,10.5
0.142462548,74,M,2.6,8.3
0.168184177,62,M,2.4,7.9
0.17598239,115,M,3.2,11.6
0.181205284,38,F,2.6,10.1
0.188737275,25,F,2.3,9.6
0.189287044,27,F,2.3,10.1
0.196273377,97,M,2.9,10.6
0.203485045,43,F,2.9,9.9
0.217115618,29,F,2.3,10.6
0.2203942,65,M,2.5,7.9
0.239146291,18,F,2.2,11
0.250394411,108,M,3,13.8
0.259902267,101,M,3,10.4
0.261648188,133,M,3.5,15.6
0.264175046,119,M,3.2,13.5
0.273172179,34,F,2.4,10.2
0.276897593,12,F,2.1,9.8
0.280540002,48,M,2,6.5
0.296161244,95,M,2.9,9.4
0.302091544,87,M,2.7,12.5
0.30660128,124,M,3.3,14.9
0.314795217,58,M,2.2,10.7
0.34273831,140,M,3.7,11
0.353985036,144,M,3.9,20.5
0.360423761,98,M,2.9,11.3
0.36135894,111,M,3.1,12.1
0.36624606,122,M,3.3,12
0.371387635,100,M,3,10
0.390840258,141,M,3.8,14.8
0.400501055,4,F,2.1,7.2
0.411489066,71,M,2.5,12.7
0.418243509,42,F,2.7,10.8
0.419879709,21,F,2.3,8.4
0.431717512,94,M,2.8,13.5
0.437546998,30,F,2.3,11.2
0.439459632,37,F,2.6,8.7
0.441602253,50,M,2.1,10.1
0.44356018,114,M,3.1,14.3
0.452806744,142,M,3.8,16.8
0.462430052,60,M,2.4,7.3
0.474645507,59,M,2.3,9.6
0.475688391,125,M,3.3,15.4
0.476687412,22,F,2.3,9
0.478345879,66,M,2.5,8.6
0.484456701,44,F,2.9,10.1
0.486197797,39,F,2.6,10.1
0.489559562,107,M,3,13.3
0.494157118,91,M,2.8,11.4
0.49569267,112,M,3.1,12.5
0.496300125,137,M,3.6,13.3
0.501641321,105,M,3,12.4
0.50775652,128,M,3.4,12.4
0.508350598,46,F,3,10.6
0.516096814,63,M,2.4,9.1
0.52373625,32,F,2.4,8.7
0.536898485,75,M,2.6,9.4
0.561406593,16,F,2.2,9.7
0.5683823,23,F,2.3,9
0.576568318,72,M,2.5,12.7
0.579203533,123,M,3.3,14.1
0.58486381,135,M,3.5,17.2
0.591315482,51,M,2.2,7.2
0.5928632,17,F,2.2,10.9
0.596771779,53,M,2.2,7.9
0.601243449,118,M,3.2,13
0.601994551,70,M,2.5,11
0.605451335,45,F,2.9,10.1
0.607042011,49,M,2,6.5
0.607112621,28,F,2.3,10.1
0.626361816,90,M,2.8,10.2
0.637788874,24,F,2.3,9.5
0.638135075,56,M,2.2,9.6
0.642605182,104,M,3,12.2
0.65158832,69,M,2.5,9.3
0.65192785,67,M,2.5,8.8
0.655244785,93,M,2.8,13.3
0.660305918,117,M,3.2,12.3
0.66087386,85,M,2.7,11.1
0.668734248,138,M,3.6,14.8
0.671863854,132,M,3.5,12.9
0.681520549,47,F,3,13
0.683770563,26,F,2.3,9.7
0.688343949,33,F,2.4,8.8
0.688433509,8,F,2.1,8.2
0.705342365,96,M,2.9,10.1
0.709778196,113,M,3.1,13
0.719687276,5,F,2.1,7.3
0.720320299,68,M,2.5,8.8
0.724992992,13,F,2.2,7.1
0.73203193,14,F,2.2,8.7
0.744602548,99,M,2.9,11.8
0.765571771,86,M,2.7,12
0.79176798,52,M,2.2,7.6
0.798092237,126,M,3.4,11.2
0.79950482,110,M,3.1,11.5
0.803376503,6,F,2.1,7.6
0.804225942,41,F,2.7,10.2
0.805954672,64,M,2.4,9.3
0.810350477,88,M,2.8,9.1
0.815466377,83,M,2.7,9.8
0.815949118,73,M,2.6,7.7
0.820877654,78,M,2.6,11.5
0.843608949,120,M,3.2,13.6
0.846717912,80,M,2.7,9
0.852305065,134,M,3.5,15.7
0.860099584,31,F,2.4,6.3
0.861176853,19,F,2.3,7.3
0.868478855,139,M,3.6,15
0.873569969,57,M,2.2,9.6
0.888159081,11,F,2.1,8.7
0.896523891,92,M,2.8,12
0.896722127,81,M,2.7,9.6
0.898394822,40,F,2.7,8.5
0.900931589,35,F,2.5,9
0.903485562,143,M,3.9,14.4
0.904320622,61,M,2.4,7.9
0.926707563,1,F,2,7
0.931013357,82,M,2.7,9.6
0.936320237,109,M,3.1,9.9
0.93909071,127,M,3.4,12.2
0.948417629,2,F,2,7.4
0.96979094,131,M,3.5,11.7
0.969819181,102,M,3,10.6
0.974553157,36,F,2.5,10.9
0.978894898,103,M,3,11.6
0.979724897,89,M,2.8,10
0.986638682,9,F,2.1,8.3
0.989012607,15,F,2.2,9.1
0.998918226,84,M,2.7,10.4
